Distance_(pixels),Gray_Value,Gray_Value,×īŠ”Öµ1,×īŠ”Öµ2,×ī“óÖµ1,×ī“óÖµ2,¹éŅ»»Æ1,¹éŅ»»Æ2
0,392,2790,347.365,2763.888,679,9444,0.13459074,0.003908916
1,383.271,2956.165,347.365,2763.888,679,9444,0.108269634,0.028783499
2,347.365,2763.888,347.365,2763.888,679,9444,0,0
3,380.726,2812.792,347.365,2763.888,679,9444,0.100595534,0.007320835
4,368.876,2776.879,347.365,2763.888,679,9444,0.064863479,0.001944728
5,368.686,2890.405,347.365,2763.888,679,9444,0.06429056,0.018939353
6,366.324,3039.694,347.365,2763.888,679,9444,0.057168272,0.041287631
7,365.66,3138.802,347.365,2763.888,679,9444,0.055166071,0.056123909
8,357.962,3303.427,347.365,2763.888,679,9444,0.031953805,0.080767957
9,379.01,3909.759,347.365,2763.888,679,9444,0.095421171,0.171534699
10,371.496,4430.231,347.365,2763.888,679,9444,0.072763731,0.249448363
11,409.4,4896.4,347.365,2763.888,679,9444,0.187058061,0.319232971
12,415.37,5067.605,347.365,2763.888,679,9444,0.20505978,0.344862032
13,383.089,4823.117,347.365,2763.888,679,9444,0.107720838,0.308262646
14,368.841,4565.2,347.365,2763.888,679,9444,0.064757942,0.269652964
15,407.256,4256.083,347.365,2763.888,679,9444,0.180593122,0.22337874
16,453.379,4168.741,347.365,2763.888,679,9444,0.319670722,0.210303809
17,426.187,4066.826,347.365,2763.888,679,9444,0.237676964,0.195047329
18,415.055,3936.197,347.365,2763.888,679,9444,0.20410994,0.175492417
19,433.21,4064.888,347.365,2763.888,679,9444,0.25885386,0.194757214
20,426.587,4189.727,347.365,2763.888,679,9444,0.238883109,0.213445373
21,449.942,4137.665,347.365,2763.888,679,9444,0.309306919,0.205651791
22,461.8,4243.8,347.365,2763.888,679,9444,0.345063096,0.221539998
23,463.01,4358.486,347.365,2763.888,679,9444,0.348711686,0.238708273
24,461.304,4443.129,347.365,2763.888,679,9444,0.343567476,0.251379168
25,441.504,4638.909,347.365,2763.888,679,9444,0.283863283,0.28068706
26,468.329,4705.952,347.365,2763.888,679,9444,0.364750403,0.290723269
27,497.235,4819.202,347.365,2763.888,679,9444,0.451912494,0.307676578
28,483.421,5227.694,347.365,2763.888,679,9444,0.410258266,0.36882705
29,479.917,6039.23,347.365,2763.888,679,9444,0.399692433,0.490312438
30,429.107,7236.008,347.365,2763.888,679,9444,0.246481825,0.669467817
31,474.864,8014.268,347.365,2763.888,679,9444,0.384455802,0.785971852
32,506.393,8216.604,347.365,2763.888,679,9444,0.479527191,0.816261164
33,508.8,8042.4,347.365,2763.888,679,9444,0.48678517,0.790183159
34,514.02,7420.141,347.365,2763.888,679,9444,0.502525367,0.697032176
35,509.017,6862.231,347.365,2763.888,679,9444,0.487439504,0.613514115
36,506.261,6555.518,347.365,2763.888,679,9444,0.479129163,0.567599765
37,523.731,6402.541,347.365,2763.888,679,9444,0.53180756,0.5446994
38,530.44,6418.514,347.365,2763.888,679,9444,0.552037632,0.547090528
39,498.286,6781.087,347.365,2763.888,679,9444,0.455081641,0.601367013
40,571.347,6899.198,347.365,2763.888,679,9444,0.675387097,0.619048004
41,602.375,7223.395,347.365,2763.888,679,9444,0.768947789,0.667579675
42,576.774,7959.993,347.365,2763.888,679,9444,0.691751474,0.777846988
43,558.75,8810.398,347.365,2763.888,679,9444,0.637402566,0.905150991
44,563,9444,347.365,2763.888,679,9444,0.65021786,1
45,551.603,9402.818,347.365,2763.888,679,9444,0.615851765,0.993835133
46,568.517,9178.279,347.365,2763.888,679,9444,0.666853619,0.960222074
47,606.698,8773.916,347.365,2763.888,679,9444,0.781983204,0.899689706
48,606.871,8190.172,347.365,2763.888,679,9444,0.782504862,0.812304345
49,608.712,7851.093,347.365,2763.888,679,9444,0.788056146,0.761544866
50,595.587,7657.281,347.365,2763.888,679,9444,0.748479503,0.73253158
51,610.4,7474.499,347.365,2763.888,679,9444,0.793146079,0.705169464
52,631.653,7600.17,347.365,2763.888,679,9444,0.857231595,0.723982173
53,670.463,7563.542,347.365,2763.888,679,9444,0.974257844,0.718499031
54,669.017,7499.36,347.365,2763.888,679,9444,0.969897628,0.708891108
55,679,7905,347.365,2763.888,679,9444,1,0.769614641
